subject_id,topic_id,question_type,question,marks,time_to_spend,difficulty_level,hint,explanation,total_answers,correct_answer,answer1,answer2,answer3,answer4,answer5
,,, 75 65 85 55 45 85 35,,,,,,5,2,25 15,25 85,35 25,85 35,25 75
,,," 1, 10, 7, 20, 13, 30, 19",,,,,,5,3,"26 , 40","29 , 36","40 , 25","25 , 31","40 , 50"
,,, 10 20 25 35 40 50 55,,,,,,5,5,70 65,60 70,60 75,60 65,65 70
,,, 40 40 31 31 22 22 13,,,,,,5,1,13 4,13 5,4 13,9 4,4 4
,,, 17 17 34 20 20 31 23,,,,,,5,5,26 23,34 20,23 33,27 28,23 28
,,, 2 3 4 5 6 4 8,,,,,,5,4,9 10,4 8,10 4,9 4,8 9
,,, 61 57 50 61 43 36 61,,,,,,5,5,29 61,27 20,31 61,22 15,29 22
,,, 9 16 23 30 37 44 51,,,,,,5,4,59 66,56 62,58 66,58 65,54 61
,,, 8 22 12 16 22 20 24,,,,,,5,3,28 32,28 22,22 28,32 36,22 26
,,, 6 20 8 14 10 8 12,,,,,,5,4,14 10,2 18,4 12,2 14,14 14
,,, 11 16 21 26 31 36 41,,,,,,5,4,47 52,46 52,45 49,46 51,46 52
,,, 8 11 21 15 18 21 22,,,,,,5,2,25 18,25 21,25 29,24 21,22 26
,,," 225, 224, __, 222, 221",,,,,,5,2,220,223,219,226,218
,,," 17, 19, 23, 29, 31, 37, __",,,,,,5,5,47,43,40,42,41
,,," 225, 196, 169, __, 121, 100, 81",,,,,,5,2,156,144,136,125,123
,,," 12, 14, 15, 16, 18, 20, __",,,,,,5,3,22,25,21,23,27
,,," 64, 125, 216, 343, __",,,,,,5,4,64,424,317,512,384
,,," 97, 83, 73, 67, 59, __",,,,,,5,3,53,49,47,51,57
,,," 57, 60, 63, 66, 69, __",,,,,,5,1,72,73,70,74,75
,,," 56, 93, 124, __, 176, 195, 212",,,,,,5,2,147,153,161,168,173
,,," 7, 11, 20, 36, 61, __, 146",,,,,,5,3,25,91,97,92,122
,,," 54, 66, 82, 102, 126, __",,,,,,5,3,146,130,154,144,126
,,," 75, 291, 416, 480, 507, __",,,,,,5,1,515,532,511,521,508
,,," 1027, 1031, 1037, 1045, 1054, __.",,,,,,5,3,1065,1058,1064,1057,1053
,,," 8, 16, 48, 96, 288, 576, __",,,,,,5,5,1152,2880,1052,1428,1728
,,," 75075, 25025, 5005, 715, __, 5",,,,,,5,4,225,365,156,65,25
,,," 12, 6, 6, 9, 18, 45, __",,,,,,5,1,135,1475,1075,105,180
,,," 5, 5, 10, 30, 120, 600, __",,,,,,5,4,4200,1800,2400,3600,3000
,,," 125, 375, 377, 1131, 1133, __",,,,,,5,1,3399,1136,1135,1234,2345
,,," 12, 21, 39, 75, 147, __",,,,,,5,2,273,291,283,263,306
,,," 12, 35, 106, 317, 952, __",,,,,,5,2,2851,2855,1851,1849,1843
,,," 5, 13, 41, 85, 257, __",,,,,,5,5,773,516,716,736,517
,,," 13, 39, 118, 356, 1071, 3217, __",,,,,,5,1,9656,6459,6355,9651,9664
,,," 2, 4, 7, 35, 42, 462, __",,,,,,5,4,5016,470,4712,475,473
,,," 440, 360, 288, 224, __",,,,,,5,3,170,169,168,171,156
,,," 132, 182, 306, 380, 552, 870, __",,,,,,5,3,930,1010,992,1142,1060
,,," 2, 10, 30, 68, 130, __",,,,,,5,2,216,222,250,210,240
,,," (14, 272), (17, 182), __, (23, 56), (26, 20)",,,,,,5,3,"(19, 110)","(20, 150)","(20, 100)","(21, 462)","(19, 122)"
,,," 7, 66, 555, __, 33333, 222222",,,,,,5,4,444,44444,444444,4444,44
,,," 1, 8, 27, 16, 125, 36, 343, 64, __, __.",,,,,,5,4,"729, 1000","81, 1000","729, 100","81, 100","729, 81"
,,," 10, 200, 3000, 40000",,,,,,5,1,500000,400000,50000,6000000,5000
,,," 11, 28, 327, 464, __",,,,,,5,3,525,5625,5125,5250,5225
,,," 5, 12, 17, 29, 46, 75, 121, __",,,,,,5,2,185,196,192,188,216
,,," Find the Wrong Number:1, 2, 8, 48, 384, 3456 ",,,,,,5,4,2,48,8,3456,None of these
,,," Find the Wrong Number:6, 18, 21, 60, 66, 198, 201 ",,,,,,5,3,18,21,60,6,198
,,," Find the Wrong Number:5, 8, 15, 26, 50, 98, 194 ",,,,,,5,1,15,26,50,98,None of these
,,," Find the Wrong Number:10, 8, 13, 135, 670, 4007 ",,,,,,5,2,8,670,135,35,13
,,, 11.5  4    4.5   7   15   ,,,,,,4,1,6,9,8,11
,,, 9    18    54    216    1080      6480  ,,,,,,5,5,156,128,152,132,168
,,, 5      31     159    6451951  39273      A)     B)      C)      D)       E) What will come in the place of (B)? ,,,,,,4,4,92,93,91,99
,,, 7   13   31   97  3911967  ,,,,,,4,2,584,535,596,586
,,, 8  7  12  33  128  635 6  A)  B)  C)  D)    E) What will come in place of (C)? ,,,,,,4,2,24,21,34,26
,,, 15   14   20   33   68   215    ,,,,,,4,4,63,51,56,69
,,, 3601  3602  1803  604  154  36  12find out the wrong number?,,,,,,4,4,3602,1803,604,154
,,, 4  12   42   196   1005   6066   42511. Find out the wrong number?,,,,,,5,2,12,42,1005,196,6066
,,, 2  8   12   20   30   42   56  find out the wrong number?,,,,,,4,2,8,42,30,20
,,, 32   16   24   65   210   945   5197.5find out the wrong number?,,,,,,5,5,945,16,24,210,65
,,, 7   13   25   49   97   194   385  Find out the wrong number?,,,,,,5,4,13,49,97,194,25
,,, 2187   729   243   81   27   9   ?,,,,,,5,2,36,3,18,6,12
,,, 522   1235   2661   4800   7652   11217   ?,,,,,,5,1,15495,16208,14782,16921,14069
,,, 5197594502100600240160     ?,,,,,,5,3,80,120,320,240,300
,,, 4   18   48   100   180   294   ?,,,,,,5,5,416,480,512,384,448
,,, 6   26   134   666   3334   16666   ?,,,,,,4,4,84344,83443,84434,83334
,,, 7413   7422   7440   ?   7503   7548,,,,,,5,5,7464,7456,7466,7477,none of these
,,, 4   16   36   64   100   ?,,,,,,4,4,120,180,136,144
,,, 12   33   96   ?   852   2553,,,,,,4,1,285,288,250,384
,,, 7000   14000   2800   ?   112   22.4,,,,,,4,3,640,420,560,540
,,, 102   99   104   97   106   ?,,,,,,4,2,96,95,100,94
,,, 15   11   20   400  ,,,,,,4,4,196,200,19,None of these
,,, 40303600 152417 What is the sum of the two resultant number of the set of the number given above? ,,,,,,4,3,22,23,25,42
,,, 13   11   4 17   13   12 The resultant of the first set of number is multiplied by .the resultant of the second set of number what will be the outcome? ,,,,,,4,2,48,96,69,75
,,, 8161614 131112144 What is the difference between the resultant of the first set of number and the second set of numbers? ,,,,,,4,4,222,210,118,None of these
,,, 191512 15122316 If the resultant of the number is subtracted from the resultant of the first set of numbers what will be the outcome? ,,,,,,4,1,44,92,29,43
,,, 236181091944209952,,,,,,5,5,3,6,18,109,1944
,,, 1   3   6   11   20   39   70,,,,,,5,4,3,39,11,20,6
,,, 2   13   27   113   561   3369   23581,,,,,,5,5,13,27,113,561,3369
,,, 50514756426529,,,,,,5,5,51,47,56,42,65
,,, 392399479288120159,,,,,,5,5,9,23,99,479,2881
,,, 2458132134,,,,,,5,4,4,5,8,13,21
,,, 74692052.5160.5,,,,,,5,1,6,4,20,9,52.5
,,, 4  6  12  30  75  315  1260,,,,,,4,2,315,75,12,6
,,, 3  4  12  38  87  166  289,,,,,,5,4,38,12,87,166,5
,,, 45929111556335,,,,,,4,3,5,9,29,111
,,, 26163884176368,,,,,,5,5,6,16,38,84,176
,,, 2  3   2     1576   245  1434  ,,,,,,4,4,16,22,24,21
,,, 1   2      8       33   148   740   4626 2  (A)  (B)     (C)    (D)    (E)    (F) What will come in place of (D)? ,,,,,,5,5,156,164,168,152,None of these
,,, 2  4.5  11   30   93   312  1136 1(A)   (B)  (C)(D)   (E)    (F) What will come in place of (B)? ,,,,,,5,5,6,81,16.75,18.75,None of these
,,, 214184682176338 4(A)(B)(C)(D)(E)(F) What will come in place of (E)? ,,,,,,4,1,238,338,218,318
,,, 13711214385 4(A)(B)(C)(D)(E)(F) What will come in place of (F)? ,,,,,,4,3,275,279,277,273
,,, 8692387429 6(A)(B)(C)(D)(E) Which of the following will come in place of (C)? ,,,,,,4,2,21,11,19,17
,,, 231039172885 1(A)(B)(C)(D)(E) Which of the followingwill come in place of (B)? ,,,,,,4,3,11,7,9,8
,,, 5710361366902(A)(B)(C)(D)(E)Which of the following will come in place of (D)?,,,,,,4,2,135,330,110,64
,,, 891311.518142(A)(B)(C)(D)(E)Which of the following will come in place of (D)?,,,,,,4,3,13.5,19.5,22,18
,,, 8461552.5236.25 4(A)(B)(C)(D)(E) Which of the following will come in place of (D)? ,,,,,,5,5,36.25,38.65,42.75,82.54,None of these
,,,  ,,,,,,5,5,24.5,25,25.5,26,None of these
,,, 6718632651365,,,,,,5,5,530,534,564,582,None of these
,,, 72358127269555,,,,,,4,2,263,261,299,286
,,, 5491866195,,,,,,4,4,12,25,20,18
,,, 2  7  28  146   877   6140,,,,,,4,4,242,246,252,341
,,, 3512381549144636,,,,,,4,3,1636,1222,1834,3312
,,, 3410341366854116,,,,,,4,3,22,276,72,1374
,,, 214181626214390106,,,,,,5,4,34,110,10,91,38
,,, 160801201801050472525987.5,,,,,,4,4,60,90,3564,135
,,, 23713264778,,,,,,4,1,11,13,15,18
